M,X,class,const_cls,med_d,scl,scl_pool,logprior,thr,n
Ta,S,Double,,2.2478,0.0050,0.1531,-2.5759,,7
Ta,S,Single,,2.6051,0.1930,0.1531,-0.0791,,85
Ta,S,thr,,,,0.1531,,2.3691|-inf,92
Ti,As,const,0,,,,,,8
Ti,Br,const,0,,,,,,67
Ti,C,Double,,2.0439,0.0891,0.0355,-3.8359,,6
Ti,C,Single,,2.0911,0.0347,0.0355,-0.0218,,272
Ti,C,thr,,,,0.0355,,-inf|-inf,278
Ti,Cl,const,0,,,,,,1426
Ti,F,const,0,,,,,,297
Ti,H,const,0,,,,,,58
Ti,I,const,0,,,,,,25
Ti,N,Double,,1.7439,0.0873,0.1506,-3.6431,,19
Ti,N,Single,,2.0213,0.1550,0.1506,-0.0308,,704
Ti,N,thr,,,,0.1506,,1.72623|-inf,726
Ti,O,const,0,,,,,,1096
Ti,P,const,0,,,,,,110
Ti,S,const,0,,,,,,225
Ti,Se,const,0,,,,,,35
V,Br,const,0,,,,,,25
V,C,const,0,,,,,,137
V,Cl,const,0,,,,,,344
V,F,const,0,,,,,,24
V,H,const,0,,,,,,71
V,I,const,0,,,,,,20
V,N,Double,,1.6140,0.0160,0.2023,-3.2313,,16
V,N,Single,,2.0728,0.2073,0.2023,-0.0532,,384
V,N,Triple,,1.6073,0.0132,0.2023,-4.3944,,5
V,N,thr,,,,0.2023,,1.68667|-inf,405
V,O,Double,,1.5277,0.0101,0.1514,-1.4858,,239
V,O,Single,,1.8644,0.2275,0.1514,-0.2578,,816
V,O,thr,,,,0.1514,,1.56158|-inf,1056
V,P,const,0,,,,,,160
V,S,Double,,2.0842,0.0050,0.0995,-3.8395,,6
V,S,Single,,2.3235,0.0996,0.0995,-0.0217,,273
V,S,thr,,,,0.0995,,2.12647|-inf,279
V,Se,const,0,,,,,,24
V,Te,const,0,,,,,,8
W,As,const,0,,,,,,37
W,Br,const,0,,,,,,105
